Year ,State,HAI,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,County,Infection_Count,Patient_Days,SIR ,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Comparison,Notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,040000122,630012960,.,Kings-Fresno,2,42875,0.76,0.13,2.5,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",.,.,040000124,.,.,Fresno,0,5970,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim",.,.,060000002,.,.,Orange,3,51929,1.15,0.29,3.13,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Center, Oakland","Alameda County Medical Center-Fairmont Campus, San Leandro",.,140000034,140000184,.,Alameda,7,55590,2.09,0.91,4.12,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,.,.,140000011,.,.,Alameda,0,11520,0,0,2.88,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,.,.,930000005,.,.,Los Angeles,0,19433,0,0,2.01,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,140000012,140000006,.,Alameda,0,87153,0,0,0.9,Lower,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000425,140000203,.,Alameda,4,66733,0.65,0.21,1.57,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center, Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",.,090000013,090000839,.,San Diego,3,30896,1.54,0.39,4.2,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valley Hospital, Lancaster",.,.,930000008,.,.,Los Angeles,6,98897,1.05,0.43,2.19,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Arrowhead Regional Medical Center, Colton",.,.,240000100,.,.,San Bernardino,14,109458,1.35,0.77,2.21,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Heart Hospital,.,.,120001330,.,.,Kern,0,16641,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Memorial Hospital,.,.,120000338,.,.,Kern,4,68579,0.86,0.27,2.07,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Banner Lassen Medical Center, Susanville",.,.,230000008,.,.,Lassen,0,4772,,,,.,
