Year,State,HAI,Facility_ID,Facility_Name,County,Facility_Category,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,Notes
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,4,2.29,110013,1.75,0.48,4.47,Same,0.47,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,745,786.2,14961774,0.95,0.88,1.02,Same,0.97,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,111,71.19,484402,1.56,1.28,1.88,Worse,1.59,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,8,9.21,484346,0.87,0.38,1.71,Same,0.85,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000007,Sutter Santa Rosa Regional Hospital,Sonoma,General Acute Care Hospital,Community (<125 Beds),1,0.99,23927,1.01,0.03,5.65,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000008,Frank R. Howard Memorial Hospital,Mendocino,Critical Access Hospital,Critical Access,0,0.13,6069,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000009,Healdsburg District Hospital,Sonoma,Critical Access Hospital,Critical Access,0,0.07,3595,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000010,Northbay Medical Center,Solano,General Acute Care Hospital,Community (125-250 Beds),1,1.63,37413,0.61,0.03,3.03,Same,1.42,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,General Acute Care Hospital,Major Teaching,1,1.66,41133,0.6,0.03,2.97,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo, Rehabilitation Unit",Solano,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.31,16178,0,0,11.99,Same,0,¥ See Data Dictionary
