Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,On_Track,Months,Notes
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,690,789.160,14903449,0.87,0.81,0.94,Better,0.97,No,,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care,110,68.490,472765,1.61,1.33,1.93,Worse,0.47,No,,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA,STATE OF CALIFORNIA POOLED DATA - Critical Access Acut,2,1.940,93060,1.03,0.17,3.41,Same,1.59,No,,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,,STATE OF CALIFORNIA POOLED DATA,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units,3,9.670,508436,0.31,0.08,0.85,Better,0.85,Yes,,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000037,Methodist Hospital of Sacramento,Sacramento,Acute Care Hospital,Community (125-250 Beds),3,1.760,39316,1.71,0.44,4.65,Same,0.99,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,Community (<125 Beds),0,0.190,9275,,,,,0,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000109,Sutter Auburn Faith Hospital,Placer,Acute Care Hospital,Community (<125 Beds),0,0.380,10500,0.00,0.00,9.73,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000113,University of California Davis Medical Center,Sacramento,Acute Care Hospital,Major Teaching,25,17.580,190702,1.42,0.94,2.07,Same,1.11,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000113,"University of California Davis Medical Center, Rehabilitation Unit",Sacramento,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.100,5369,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,Community (<125 Beds),0,0.250,7200,0.00,0.00,14.71,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000117,Dameron Hospital,San Joaquin,Acute Care Hospital,Community (125-250 Beds),3,0.760,18527,3.96,0.82,11.58,Same,2.39,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000118,Doctors Hospital of Manteca,San Joaquin,Acute Care Hospital,Community (<125 Beds),0,0.490,13868,0.00,0.00,7.50,Same,1.78,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0,0.070,3407,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,Community (<125 Beds),0,0.850,21979,0.00,0.00,4.33,Same,2.12,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000122,Doctors Medical Center,Stanislaus,Acute Care Hospital,Community (>250 Beds),10,11.040,116916,0.91,0.46,1.61,Same,1.22,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000123,Memorial Medical Center,Stanislaus,Acute Care Hospital,Community (>250 Beds),2,3.960,79526,0.51,0.09,1.67,Same,0.94,Yes,12,
