Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,On_Track,Months,SIR_2015,Notes
2019,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,606,841.16,15182557,0.72,0.67,0.78,Better,No,,,
2019,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,81,64.82,446909,1.25,1.00,1.55,Same,No,,1.59,
2019,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3,2.15,103193,1.40,0.36,3.80,Same,No,,0.47,
2019,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4,10.88,572259,0.37,0.12,0.89,Better,Yes,,0.85,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.60,12933,0.00,0.00,6.18,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",0,3.01,69130,0.00,0.00,1.00,Better,Yes,12,,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,0,1.50,43215,0.00,0.00,1.99,Same,Yes,12,,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034,Highland Hospital,Acute Care Hospital,Major Teaching,10,3.93,56706,2.54,1.29,4.53,Worse,No,12,0.74,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.89,20070,1.13,0.03,6.28,Same,No,12,0.65,¥ See Data Dictionary
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",3,2.95,62032,1.02,0.26,2.77,Same,No,12,0.74,
