Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Months,Notes
2020H2,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,390,412.77,7177727,0.95,0.86,1.04,Same,,
2020H2,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,32,35.21,229309,0.91,0.63,1.27,Same,,
2020H2,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.99,47375,0.00,0.00,3.74,Same,,¥ See Data Dictionary
2020H2,California,,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4,5.18,272579,0.77,0.25,1.86,Same,,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",0,0.71,15868,0.00,0.00,5.21,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",0,0.43,12433,0.00,0.00,8.63,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,0,0.81,18197,0.00,0.00,4.58,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.13,6682,,,,,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.85,24451,0.54,0.03,2.67,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,1.28,20151,0.00,0.00,2.34,Same,6,
