Year,State,HAI,Facility_Name ,FACID,County,Cases,Patient_Days,Incidence_Rate,95%_Confidence_Interval_Lower_Limit,95%_Confidence_Interval_Upper_Limit,Compared_To_Pooled_Mean_Rate ,Notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barlow Respiratory Hospital,  Los Angeles",930000014,Los Angeles,3,24704,1.21,0.25,3.55,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kentfield Rehab & Specialty Hospital, Kentfield",110000946,Marin,0,16345,0,0,1.83,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital Rancho, Rancho Cucamonga",240001515,San Bernardino,3,17094,1.76,0.36,5.13,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital Riverside, Perris",250000004,Riverside,4,12033,3.32,0.91,8.51,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital South Bay, Gardena",930000039,Los Angeles,5,18172,2.75,0.89,6.42,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital South Bay, Hawaiian Gardens",930000039,Los Angeles,1,9268,1.08,0.03,6.01,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Baldwin Park",930000144,Los Angeles,4,27223,1.47,0.4,3.76,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Brea",060001360,Orange,4,14747,2.71,0.74,6.94,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, La Mirada",930000089,Los Angeles,3,21201,1.42,0.29,4.14,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Los Angeles",930000088,Los Angeles,18,27196,6.62,3.92,10.46,Higher,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Ontario",240000040,San Bernardino,12,25645,4.68,2.42,8.17,Higher,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, San Diego",090000048,San Diego,1,18195,0.55,0.01,3.06,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Santa Ana",930001607,Orange,5,18256,2.74,0.89,6.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital, Westminster",060000017,Orange,15,33935,4.42,2.47,7.29,Higher,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital-San Francisco Bay Area, San Leandro",140000148,Alameda,5,19555,2.56,0.83,5.97,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kindred Hospital-San Gabriel Valley, West Covina",930000042,Los Angeles,6,19393,3.09,1.14,6.73,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Monrovia Memorial Hospital,930000107,Los Angeles,0,13548,0,0,2.21,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Promise Hospital of East LA-East L.A Campus, Los Angeles",930000003,Los Angeles,2,8823,2.27,0.27,8.19,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Promise Hospital of East LA-Suburban Campus, Paramount",930000033,Los Angeles,10,42303,2.36,1.13,4.35,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Promise Hospital of San Diego,090000155,San Diego,1,15391,0.65,0.02,3.62,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Vibra Hospital of Northern California,230000422,Shasta,0,17087,0,0,1.75,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Vibra Hospital of Sacramento,030000907,Sacramento,0,12392,0,0,2.42,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Vibra Hospital of San Diego,090000977,San Diego,3,27841,1.08,0.22,3.15,No Different,
